,k,distance,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,model,dataset
0,2,euclidean,-0.0018269338992478578,0.09090909090909091,0.1553398058252427,1.8356240878123793,0.22627749895682492,gmeans,vowel
1,2,manhattan,-0.0018269338992478578,0.09090909090909091,0.1553398058252427,1.8356240878123793,0.22627749895682492,gmeans,vowel
2,2,cosine,-0.0018269338992478578,0.09090909090909091,0.1553398058252427,1.8356240878123793,0.22627749895682492,gmeans,vowel
3,3,euclidean,-0.002687762970926705,0.09090909090909091,0.1553398058252427,2.2187540844153264,0.196608458223959,gmeans,vowel
4,3,manhattan,-0.002687762970926705,0.09090909090909091,0.1553398058252427,2.2187540844153264,0.196608458223959,gmeans,vowel
5,3,cosine,-0.002687762970926705,0.09090909090909091,0.1553398058252427,2.2187540844153264,0.196608458223959,gmeans,vowel
6,4,euclidean,-0.004624773922881895,0.09090909090909091,0.13559322033898305,2.5511181175587474,0.16312511063355753,gmeans,vowel
7,4,manhattan,-0.004624773922881895,0.09090909090909091,0.13559322033898305,2.5511181175587474,0.16312511063355753,gmeans,vowel
8,4,cosine,-0.004624773922881895,0.09090909090909091,0.13559322033898305,2.5511181175587474,0.16312511063355753,gmeans,vowel
9,5,euclidean,-0.003164337483094635,0.09090909090909091,0.1553398058252427,1.6023649599146572,0.2632101259813438,gmeans,vowel
10,5,manhattan,-0.003164337483094635,0.09090909090909091,0.1553398058252427,1.6023649599146572,0.2632101259813438,gmeans,vowel
11,5,cosine,-0.003164337483094635,0.09090909090909091,0.1553398058252427,1.6023649599146572,0.2632101259813438,gmeans,vowel
12,6,euclidean,-0.006303679773067528,0.09090909090909091,0.13559322033898305,1.7691010050170657,0.2711641276092678,gmeans,vowel
13,6,manhattan,-0.006282793669828641,0.09292929292929293,0.13769241712903685,1.7747086466894582,0.2698312212913175,gmeans,vowel
14,6,cosine,-0.006303679773067528,0.09090909090909091,0.13559322033898305,1.7691010050170657,0.2711641276092678,gmeans,vowel
15,7,euclidean,-0.006303679773067528,0.09090909090909091,0.13559322033898305,1.7691010050170657,0.2711641276092678,gmeans,vowel
16,7,manhattan,-0.006282793669828641,0.09292929292929293,0.13769241712903685,1.7747086466894582,0.2698312212913175,gmeans,vowel
17,7,cosine,-0.006303679773067528,0.09090909090909091,0.13559322033898305,1.7691010050170657,0.2711641276092678,gmeans,vowel
