,k,distance,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,model,dataset
0,2,euclidean,0.11300757427534963,0.6684322033898306,0.6684322033898306,1.225520748252277,0.3398161991393979,kmeans,grid
1,2,euclidean,0.4974758992194561,0.8527542372881356,0.8527542372881357,1.2218555243618194,0.3417221130284885,kmeans,grid
2,2,euclidean,0.5004714180113649,0.8538135593220338,0.8538135593220338,1.22185264287787,0.34172518822798487,kmeans,grid
3,2,euclidean,0.004971292329089622,0.5370762711864406,0.5370762711864406,1.2255207482522756,0.3398161991394104,kmeans,grid
4,2,euclidean,0.41178699584671585,0.8209745762711864,0.8209745762711864,1.225520748252275,0.33981619913941064,kmeans,grid
5,2,euclidean,0.4974758992194561,0.8527542372881356,0.8527542372881357,1.2218555243618212,0.34172211302848654,kmeans,grid
6,2,euclidean,0.4974758992194561,0.8527542372881356,0.8527542372881357,1.2218555243618212,0.34172211302848654,kmeans,grid
7,2,euclidean,0.41178699584671585,0.8209745762711864,0.8209745762711864,1.2255207482522756,0.339816199139398,kmeans,grid
8,2,euclidean,0.41178699584671585,0.8209745762711864,0.8209745762711864,1.2255207482522756,0.339816199139398,kmeans,grid
9,2,euclidean,0.009390468477872456,0.5497881355932204,0.5497881355932204,1.221855524361822,0.3417221130284881,kmeans,grid
10,2,euclidean,0.016733456666068052,0.565677966101695,0.565677966101695,1.2215481249977855,0.34176168365020065,kmeans,grid
11,2,euclidean,0.4974758992194561,0.8527542372881356,0.8527542372881357,1.2218555243618212,0.34172211302848654,kmeans,grid
12,2,euclidean,0.41178699584671585,0.8209745762711864,0.8209745762711864,1.2255207482522756,0.339816199139398,kmeans,grid
13,2,euclidean,0.012565628576642236,0.5572033898305084,0.5572033898305084,1.221741588410134,0.34177573025730595,kmeans,grid
14,2,euclidean,0.11300757427534963,0.6684322033898306,0.6684322033898306,1.225520748252277,0.3398161991393979,kmeans,grid
15,2,euclidean,0.0260971100159539,0.5815677966101694,0.5815677966101694,1.221855524361821,0.3417221130284863,kmeans,grid
16,2,euclidean,0.4974758992194561,0.8527542372881356,0.8527542372881357,1.2218555243618212,0.34172211302848654,kmeans,grid
17,2,euclidean,0.4974758992194561,0.8527542372881356,0.8527542372881357,1.2218555243618212,0.34172211302848654,kmeans,grid
18,2,euclidean,0.41178699584671585,0.8209745762711864,0.8209745762711864,1.225520748252275,0.33981619913941064,kmeans,grid
19,2,euclidean,0.4974758992194561,0.8527542372881356,0.8527542372881357,1.2218555243618212,0.34172211302848654,kmeans,grid
20,2,manhattan,0.2560061342171954,0.753177966101695,0.753177966101695,1.2310124697362226,0.33298874171244663,kmeans,grid
21,2,manhattan,0.00351172805549216,0.5317796610169492,0.5317796610169492,1.2437307685514751,0.33256482427211753,kmeans,grid
22,2,manhattan,0.2756862576315068,0.7627118644067796,0.7627118644067796,1.2426135171736872,0.3325020425456718,kmeans,grid
23,2,manhattan,0.10597912729422002,0.663135593220339,0.663135593220339,1.2437307685514774,0.33256482427210493,kmeans,grid
24,2,manhattan,0.3771656309112592,0.8072033898305084,0.8072033898305084,1.2426135171736827,0.33250204254565385,kmeans,grid
25,2,manhattan,0.12774294444786313,0.6790254237288136,0.6790254237288136,1.2310124697362217,0.33298874171246734,kmeans,grid
26,2,manhattan,0.10597912729422002,0.663135593220339,0.663135593220339,1.2437307685514774,0.33256482427210493,kmeans,grid
27,2,manhattan,0.10597912729422002,0.663135593220339,0.663135593220339,1.2437307685514774,0.33256482427210493,kmeans,grid
28,2,manhattan,0.00351172805549216,0.5317796610169492,0.5317796610169492,1.2437307685514776,0.332564824272116,kmeans,grid
29,2,manhattan,0.25815427616171693,0.7542372881355932,0.7542372881355932,1.2368547573893587,0.3329032979609414,kmeans,grid
30,2,manhattan,0.00351172805549216,0.5317796610169492,0.5317796610169492,1.2437307685514776,0.332564824272116,kmeans,grid
31,2,manhattan,0.00351172805549216,0.5317796610169492,0.5317796610169492,1.2437307685514776,0.332564824272116,kmeans,grid
32,2,manhattan,0.16159606473016006,0.701271186440678,0.701271186440678,1.2426135171736883,0.33250204254565263,kmeans,grid
33,2,manhattan,0.2756862576315068,0.7627118644067796,0.7627118644067796,1.2426135171736872,0.3325020425456718,kmeans,grid
34,2,manhattan,0.00351172805549216,0.5317796610169492,0.5317796610169492,1.2437307685514776,0.332564824272116,kmeans,grid
35,2,manhattan,0.10597912729422002,0.663135593220339,0.663135593220339,1.2437307685514774,0.33256482427210493,kmeans,grid
36,2,manhattan,0.00351172805549216,0.5317796610169492,0.5317796610169492,1.2437307685514776,0.332564824272116,kmeans,grid
37,2,manhattan,0.3771656309112592,0.8072033898305084,0.8072033898305084,1.2426135171736827,0.33250204254565385,kmeans,grid
38,2,manhattan,0.16159606473016006,0.701271186440678,0.701271186440678,1.2426135171736883,0.33250204254565263,kmeans,grid
39,2,manhattan,0.4651180100941136,0.8411016949152542,0.8411016949152542,1.2437929733931095,0.3325215140402737,kmeans,grid
40,2,cosine,0.016733456666068052,0.565677966101695,0.565677966101695,1.2215481249977842,0.3417616836501968,kmeans,grid
41,2,cosine,0.01256687176713438,0.5572033898305084,0.5572033898305084,1.2216461482487175,0.3410266086641934,kmeans,grid
42,2,cosine,0.01330417364229626,0.558792372881356,0.558792372881356,1.2218315426721795,0.3412292856805628,kmeans,grid
43,2,cosine,0.02644784281474619,0.5820974576271186,0.5820974576271186,1.4565069846342447,0.260479957109493,kmeans,grid
44,2,cosine,0.01256687176713438,0.5572033898305084,0.5572033898305084,1.2216461482487175,0.3410266086641934,kmeans,grid
