,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Execution_time
0,kmeans_k2_distance-euclidean,-0.0069225280937863145,0.9610079575596817,0.9282291789302021,1.2981983002774038,0.3355709723615699,0.013672590255737305
1,kmeans_k2_distance-euclidean,0.008873060988330638,0.9610079575596817,0.7322903623297764,1.8566846372925787,0.2277376858988799,0.021541118621826172
2,kmeans_k2_distance-euclidean,0.0027403241657378984,0.9610079575596817,0.6928078550174298,2.006680340630066,0.20899016055192293,0.02109670639038086
3,kmeans_k2_distance-euclidean,-0.031010400496189416,0.9610079575596817,0.926524326773766,1.7570199738527779,0.14906429165381113,0.010539770126342773
4,kmeans_k2_distance-euclidean,0.000731877462340165,0.9610079575596817,0.7875317736274355,1.7874537522314928,0.23794380868620532,0.024100065231323242
5,kmeans_k2_distance-euclidean,-0.0069225280937863145,0.9610079575596817,0.9282291789302021,1.2981983002774038,0.3355709723615699,0.01067805290222168
6,kmeans_k2_distance-euclidean,-0.0069225280937863145,0.9610079575596817,0.9282291789302021,1.2981983002774038,0.3355709723615699,0.0157320499420166
7,kmeans_k2_distance-euclidean,-0.014542373145812916,0.9610079575596817,0.8208989542595511,2.2117827648933215,0.19027489705994943,0.018698453903198242
8,kmeans_k2_distance-euclidean,0.0008986801103891176,0.9610079575596817,0.7974255306753302,1.7576021148469685,0.23952927746159122,0.012047767639160156
9,kmeans_k2_distance-euclidean,0.008873060988330638,0.9610079575596817,0.7322903623297764,1.8566846372925787,0.2277376858988799,0.011128902435302734
10,kmeans_k2_distance-euclidean,0.00043994781250264334,0.9610079575596817,0.7856804613860974,1.7929684486900404,0.2378760550122678,0.047789812088012695
11,kmeans_k2_distance-euclidean,0.0027403241657378984,0.9610079575596817,0.6928078550174298,2.006680340630066,0.20899016055192293,0.014748334884643555
12,kmeans_k2_distance-euclidean,0.008873060988330638,0.9610079575596817,0.7322903623297764,1.8566846372925787,0.2277376858988799,0.025891780853271484
13,kmeans_k2_distance-euclidean,0.0008986801103891176,0.9610079575596817,0.7974255306753302,1.7576021148469685,0.23952927746159122,0.0187532901763916
14,kmeans_k2_distance-euclidean,0.008873060988330638,0.9610079575596817,0.7322903623297764,1.8566846372925787,0.2277376858988799,0.019286155700683594
15,kmeans_k2_distance-euclidean,-0.0069225280937863145,0.9610079575596817,0.9282291789302021,1.2981983002774038,0.3355709723615699,0.008523941040039062
16,kmeans_k2_distance-euclidean,0.008873060988330638,0.9610079575596817,0.7322903623297764,1.8566846372925787,0.2277376858988799,0.02158665657043457
17,kmeans_k2_distance-euclidean,-0.021278076862925075,0.9610079575596817,0.9726684494782655,2.0915828337528692,0.074437799455778,0.007052421569824219
18,kmeans_k2_distance-euclidean,0.005302578025385271,0.9610079575596817,0.7113998406274555,1.99889507011911,0.20596318053485427,0.023377418518066406
19,kmeans_k2_distance-euclidean,0.03152053025141202,0.9610079575596817,0.8245433129952572,1.6996790795278942,0.2037819800842155,0.014134883880615234
20,kmeans_k2_distance-manhattan,0.0027347000195382582,0.9610079575596817,0.6917219821728169,2.007750103423056,0.20895274389165508,0.014118671417236328
21,kmeans_k2_distance-manhattan,0.0003829094467978389,0.9610079575596817,0.7853094736441015,1.7942087221902079,0.23791148319957764,0.015494346618652344
22,kmeans_k2_distance-manhattan,0.010168844659754605,0.9610079575596817,0.7367455048253289,1.8565441458949112,0.2262369728920802,0.009577035903930664
23,kmeans_k2_distance-manhattan,0.00918517821073746,0.9610079575596817,0.7322903623297764,1.85737440175029,0.22778068346435273,0.013765096664428711
24,kmeans_k2_distance-manhattan,0.00918517821073746,0.9610079575596817,0.7322903623297764,1.85737440175029,0.22778068346435273,0.02070307731628418
25,kmeans_k2_distance-manhattan,-0.014848610415236435,0.9610079575596817,0.8702920576239014,1.9856682163498285,0.220075245832518,0.015015840530395508
26,kmeans_k2_distance-manhattan,-0.0069225280937863145,0.9610079575596817,0.9282291789302021,1.2981983002774038,0.3355709723615699,0.009312868118286133
27,kmeans_k2_distance-manhattan,-0.0069225280937863145,0.9610079575596817,0.9282291789302021,1.2981983002774038,0.3355709723615699,0.009530067443847656
28,kmeans_k2_distance-manhattan,0.0003829094467978389,0.9610079575596817,0.7853094736441015,1.7942087221902079,0.23791148319957764,0.013748407363891602
29,kmeans_k2_distance-manhattan,-0.016906883349909935,0.9610079575596817,0.8682229882916616,1.9995993341323457,0.2197425347161429,0.011766195297241211
30,kmeans_k2_distance-manhattan,-0.015186165740817952,0.9610079575596817,0.8688604915746789,1.9959086679142408,0.22006314484398154,0.030656814575195312
31,kmeans_k2_distance-manhattan,0.00918517821073746,0.9610079575596817,0.7322903623297764,1.85737440175029,0.22778068346435273,0.012541770935058594
32,kmeans_k2_distance-manhattan,0.0010350389112406455,0.9610079575596817,0.7937813622228218,1.7695885925357437,0.23849678490505574,0.011922359466552734
33,kmeans_k2_distance-manhattan,-0.0069225280937863145,0.9610079575596817,0.9282291789302021,1.2981983002774038,0.3355709723615699,0.008176803588867188
34,kmeans_k2_distance-manhattan,0.00918517821073746,0.9610079575596817,0.7322903623297764,1.85737440175029,0.22778068346435273,0.015163660049438477
35,kmeans_k2_distance-manhattan,0.0027347000195382582,0.9610079575596817,0.6917219821728169,2.007750103423056,0.20895274389165508,0.021128416061401367
36,kmeans_k2_distance-manhattan,0.0003829094467978389,0.9610079575596817,0.7853094736441015,1.7942087221902079,0.23791148319957764,0.010622978210449219
