,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,GlobalKmeans_k2_distance-euclidean_kfound2,0.11300757427534963,0.6684322033898306,0.6684322033898306,1.225520748252277,0.3398161991393979,1056.6519255759401,14.4304940700531,
1,GlobalKmeans_k2_distance-manhattan_kfound2,0.25815427616171693,0.7542372881355932,0.7542372881355932,1.2368547573893587,0.3329032979609414,1026.9258065662968,15.247681379318237,
2,GlobalKmeans_k2_distance-cosine_kfound2,0.01330417364229626,0.558792372881356,0.558792372881356,1.2218315426721795,0.3412292856805628,1062.519260901126,14.18428111076355,
3,GlobalKmeans_k3_distance-euclidean_kfound3,0.262240180646496,0.777542372881356,0.6636890383126295,0.8680760779183513,0.3723173188999683,1440.1930948930353,16.615883827209473,
4,GlobalKmeans_k3_distance-manhattan_kfound3,0.22629079741837943,0.774364406779661,0.640853302162478,0.8707950848372726,0.36675645425471104,1413.5445225321164,16.24853229522705,
5,GlobalKmeans_k3_distance-cosine_kfound3,0.032473723318698175,0.6038135593220338,0.4983561679721269,1.5120657953047976,0.2522232315743582,788.4396742194735,16.161325454711914,
6,GlobalKmeans_k4_distance-euclidean_kfound4,0.2615907439453682,0.8527542372881356,0.6036350219005904,0.8127169438954844,0.371078686133245,1629.6584481530808,18.525204181671143,
7,GlobalKmeans_k4_distance-manhattan_kfound4,0.256343826767745,0.8485169491525424,0.6016880864256545,0.8159547573091519,0.3682592701931017,1612.8791197181824,18.36754322052002,
8,GlobalKmeans_k4_distance-cosine_kfound4,0.03434784918778918,0.614406779661017,0.45997659663942375,1.7967112293766334,0.19974411644873027,643.6011276407897,18.385825395584106,
9,GlobalKmeans_k5_distance-euclidean_kfound5,0.2056728636983403,0.8220338983050848,0.5312927332264001,0.8614830624625229,0.34197371261583437,1607.0430032223242,20.737351179122925,
10,GlobalKmeans_k5_distance-manhattan_kfound5,0.2031875315653049,0.8199152542372882,0.5293941011610837,0.8651478136820374,0.33718314001121585,1584.394036027072,20.708104372024536,
11,GlobalKmeans_k5_distance-cosine_kfound5,0.038905024944766164,0.6276483050847458,0.4134593249115133,2.3399328669151527,0.1624404033067002,521.4082099184487,20.58559250831604,
12,GlobalKmeans_k6_distance-euclidean_kfound6,0.15133461422943684,0.7828389830508474,0.47361943193543476,0.7754523980006472,0.3692977286205473,1627.4558273186058,22.971739292144775,
13,GlobalKmeans_k6_distance-manhattan_kfound6,0.15677628354942302,0.7891949152542372,0.475293748211276,0.7836121950314889,0.36330295519454386,1598.485486936481,23.3352210521698,
14,GlobalKmeans_k6_distance-cosine_kfound6,0.04447457277939732,0.649364406779661,0.39404612865947614,2.6699949473402476,0.12286456903059688,441.10184429001686,23.416643142700195,
15,GlobalKmeans_k7_distance-euclidean_kfound7,0.11816976642108722,0.7616525423728814,0.42088298516629274,0.7498377660380126,0.36780550727063993,1723.7591279820483,25.33717155456543,
16,GlobalKmeans_k7_distance-manhattan_kfound7,0.14313797620916466,0.8098516949152542,0.4145810136500474,0.7592551130894521,0.3604588592236489,1690.8729188773746,27.288937091827393,
17,GlobalKmeans_k7_distance-cosine_kfound7,0.048662326463919645,0.6657838983050848,0.36796346711161854,2.9282181805364353,0.10123401506223596,385.24401441724797,26.033987283706665,
18,GlobalKmeans_k8_distance-euclidean_kfound8,0.11426834968414268,0.784427966101695,0.3846175858256017,0.7800665092153655,0.3561014367046313,1744.774579768305,30.441425323486328,
19,GlobalKmeans_k8_distance-manhattan_kfound8,0.11431990108337657,0.7934322033898306,0.36594869986855055,0.785407266728964,0.3497354860916326,1714.249915640382,43.73457479476929,
20,GlobalKmeans_k8_distance-cosine_kfound8,0.04328079683271261,0.659427966101695,0.35807440172169275,3.525030562273067,0.07911919380799343,335.8822281997283,38.11715006828308,
21,GlobalKmeans_k9_distance-euclidean_kfound9,0.10055074564215609,0.7791313559322034,0.3480174905589462,0.7968901184218125,0.34731725037294664,1746.2909471465716,39.10908389091492,
22,GlobalKmeans_k9_distance-manhattan_kfound9,0.100998057670594,0.7701271186440678,0.3400775700764801,0.8029815173223036,0.3387509575966552,1711.2666064802163,40.121211528778076,
23,GlobalKmeans_k9_distance-cosine_kfound9,0.03906192449833651,0.6546610169491526,0.3078851317335123,3.9284873347743434,0.06520572619674636,298.7135512862082,37.33554244041443,
24,GlobalKmeans_k10_distance-euclidean_kfound10,0.11336533633610281,0.8411016949152542,0.3604127005426077,0.8295768840898429,0.34660703774672896,1727.071037671109,32.12417268753052,
25,GlobalKmeans_k10_distance-manhattan_kfound10,0.08718968520202261,0.7870762711864406,0.30835672096265315,0.8328443610577112,0.3381446409992054,1684.5886167319827,32.21396207809448,
26,GlobalKmeans_k10_distance-cosine_kfound10,0.035741174568622344,0.659427966101695,0.30089211596456755,4.357221994928914,0.046183878430009886,268.6812512012546,31.412869691848755,
27,GlobalKmeans_k11_distance-euclidean_kfound11,0.09696621668033356,0.8342161016949152,0.3249860273474056,0.7760658774103348,0.35280664875098094,1730.4814697387283,34.17949891090393,
28,GlobalKmeans_k11_distance-manhattan_kfound11,0.09256860038131065,0.8098516949152542,0.31075704572329527,0.7904329683487886,0.34383849380806103,1685.9508772918139,34.2882604598999,
29,GlobalKmeans_k11_distance-cosine_kfound11,0.031612130039404086,0.6636652542372882,0.28916251401849385,4.399055319353443,0.03599647861976497,245.0885259419103,33.591514587402344,
30,GlobalKmeans_k12_distance-euclidean_kfound12,0.09294774758480763,0.8485169491525424,0.2985522598870056,0.7801616301671149,0.35398159035122195,1720.320144899156,39.14972376823425,
31,GlobalKmeans_k12_distance-manhattan_kfound12,0.08667574669093563,0.8246822033898306,0.28264786534489134,0.7890826567493855,0.3360367618507298,1696.8196449187203,36.65423798561096,
32,GlobalKmeans_k12_distance-cosine_kfound12,0.028085025133294875,0.6588983050847458,0.2742963026896395,4.925862760496204,0.01649866619505673,221.91474614954808,36.01467728614807,
