,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Xie-Beni,Solving Time,Iterations
0,GS-FCM_k2_m1.05_eta0.1,-0.0069225280937863145,0.9610079575596817,0.9282291789302021,1.2981983002774038,0.3355709723615699,765.1699883377146,0.4525695083239523,0.09872245788574219,6
1,GS-FCM_k2_m1.05_eta0.5,0.0008986801103891176,0.9610079575596817,0.7974255306753302,1.7576021148469685,0.23952927746159122,923.3069828027342,0.8859091460264383,0.050383567810058594,3
2,GS-FCM_k2_m1.05_eta0.9,0.0005553683497368606,0.9610079575596817,0.7864217108666802,1.790824963638785,0.23790123098258573,922.1901905942644,0.9095434345849941,0.05288267135620117,3
3,GS-FCM_k2_m1.5_eta0.1,0.0010043105413683052,0.9610079575596817,0.7891928045813036,1.7827972698503127,0.23797980389156972,921.9153806079507,1.0358065425411118,0.24780583381652832,18
4,GS-FCM_k2_m1.5_eta0.5,0.000731877462340165,0.9610079575596817,0.7875317736274355,1.7874537522314928,0.23794380868620532,922.2223386316642,0.8860509020648049,0.0788583755493164,5
5,GS-FCM_k2_m1.5_eta0.9,0.0005553683497368606,0.9610079575596817,0.7864217108666802,1.790824963638785,0.23790123098258573,922.1901905942644,0.9094880451677253,0.054814815521240234,3
6,GS-FCM_k2_m1.75_eta0.1,0.0015650810360007227,0.9610079575596817,0.7966985814934012,1.7607367234848421,0.2395755506499985,922.92956783915,1.1141345562304823,0.3372488021850586,23
7,GS-FCM_k2_m1.75_eta0.5,-0.0069225280937863145,0.9610079575596817,0.9282291789302021,1.2981983002774038,0.3355709723615699,765.1699883377146,0.4407392375279024,0.15389752388000488,10
8,GS-FCM_k2_m1.75_eta0.9,0.00043994781250264334,0.9610079575596817,0.7856804613860974,1.7929684486900404,0.2378760550122678,922.2079160197184,0.9091550521139133,0.11908531188964844,8
9,GS-FCM_k2_m2_eta0.1,-0.00015622058845607235,0.9610079575596817,0.6630277284483358,2.002866486696112,0.2088913740375311,835.0284333643696,1.1419013016285409,0.5431704521179199,39
10,GS-FCM_k2_m2_eta0.5,0.0008986801103891176,0.9610079575596817,0.7974255306753302,1.7576021148469685,0.23952927746159122,923.3069828027342,0.7365928688723589,0.19847369194030762,15
