,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,spectral_k2affinity-r-b-f-assign_labels-k-m-e-a-n-s-eigen-solver-a-r-p-a-c-k-,0.006616786947168292,0.9610079575596817,0.9508215412731357,0.9399461675681079,0.35282109565791897,609.2511318469313,3.016104221343994,
1,spectral_k2affinity-r-b-f-assign_labels-k-m-e-a-n-s-eigen-solver-l-o-b-p-c-g-,0.006616786947168292,0.9610079575596817,0.9508215412731357,0.9399461675681079,0.35282109565791897,609.2511318469313,1.08638596534729,
2,spectral_k2affinity-r-b-f-assign_labels-d-i-s-c-r-e-t-i-z-e-eigen-solver-a-r-p-a-c-k-,0.004290846405926737,0.9610079575596817,0.949329274460409,0.9726668039720153,0.3523225292588373,624.6751821485491,2.103163957595825,
3,spectral_k2affinity-r-b-f-assign_labels-d-i-s-c-r-e-t-i-z-e-eigen-solver-l-o-b-p-c-g-,0.004290846405926737,0.9610079575596817,0.949329274460409,0.9726668039720153,0.3523225292588373,624.6751821485491,1.3159654140472412,
4,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-a-r-p-a-c-k-,-0.0017977324899565693,0.9610079575596817,0.7078112663874622,2.3234040566910434,0.20177822324400876,636.8185554030446,1.3099091053009033,
5,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-a-r-p-a-c-k-,-0.003614526243571491,0.9610079575596817,0.7333058330986305,2.2143546395309537,0.16918175786398507,595.4525835091539,1.1852259635925293,
6,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-a-r-p-a-c-k-,0.0013964223368699677,0.9610079575596817,0.6849465137199223,2.3303082290332258,0.19632668278194162,617.5665544060612,2.205146312713623,
7,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-a-r-p-a-c-k-,0.03329417023290161,0.9610079575596817,0.9209429334521044,1.3025152653750318,0.15523128110609205,468.14775922110306,6.266493558883667,
8,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-l-o-b-p-c-g-,-0.0017977324899565693,0.9610079575596817,0.7078112663874622,2.3234040566910434,0.20177822324400876,636.8185554030446,0.41663336753845215,
9,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-l-o-b-p-c-g-,-0.003614526243571491,0.9610079575596817,0.7333058330986305,2.2143546395309537,0.16918175786398507,595.4525835091539,0.4157426357269287,
