,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,gmeans_k2_distance-euclidean_kfound2,-0.0018269338992478578,0.09090909090909091,0.1553398058252427,1.8356240878123793,0.22627749895682492,290.48598116985374,0.007513523101806641,
1,gmeans_k2_distance-manhattan_kfound2,-0.0018269338992478578,0.09090909090909091,0.1553398058252427,1.8356240878123793,0.22627749895682492,290.48598116985374,0.01145792007446289,
2,gmeans_k2_distance-cosine_kfound2,-0.0018269338992478578,0.09090909090909091,0.1553398058252427,1.8356240878123793,0.22627749895682492,290.48598116985374,0.0035495758056640625,
3,gmeans_k3_distance-euclidean_kfound3,-0.0030617907648736054,0.09090909090909091,0.15217391304347827,2.33111331968277,0.18611450615524444,190.45297068842962,0.011280298233032227,
4,gmeans_k3_distance-manhattan_kfound3,-0.0030617907648736054,0.09090909090909091,0.15217391304347827,2.33111331968277,0.18611450615524444,190.45297068842962,0.0,
5,gmeans_k3_distance-cosine_kfound3,-0.0030617907648736054,0.09090909090909091,0.15217391304347827,2.33111331968277,0.18611450615524444,190.45297068842962,0.012375354766845703,
6,gmeans_k4_distance-euclidean_kfound4,-0.004624773922881895,0.09090909090909091,0.13559322033898305,2.5511181175587474,0.16312511063355753,160.52007316926165,0.00454258918762207,
7,gmeans_k4_distance-manhattan_kfound4,-0.004624773922881895,0.09090909090909091,0.13559322033898305,2.5511181175587474,0.16312511063355753,160.52007316926165,0.007247447967529297,
8,gmeans_k4_distance-cosine_kfound4,-0.004624773922881895,0.09090909090909091,0.13559322033898305,2.5511181175587474,0.16312511063355753,160.52007316926165,0.010061979293823242,
9,gmeans_k5_distance-euclidean_kfound5,-0.005170907405096018,0.09090909090909091,0.13559322033898305,2.185734245076411,0.20050436651358744,149.0484806209899,0.020417451858520508,
10,gmeans_k5_distance-manhattan_kfound5,-0.005151433420374186,0.09292929292929293,0.13782771535580526,2.1935849434177603,0.19917146019563703,148.43419350816833,0.01339101791381836,
11,gmeans_k5_distance-cosine_kfound5,-0.005170907405096018,0.09090909090909091,0.13559322033898305,2.185734245076411,0.20050436651358744,149.0484806209899,0.009146928787231445,
