,k,distance,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,model,dataset
0,2,euclidean,0.13544146766841705,0.684322033898305,0.684322033898305,1.236854757389358,0.33290329796095675,gmeans,grid
1,2,manhattan,0.25815427616171693,0.7542372881355932,0.7542372881355932,1.2368547573893611,0.3329032979609414,gmeans,grid
2,2,cosine,0.02211064630068736,0.5752118644067796,0.5752118644067796,1.2215474849653316,0.3408565355739152,gmeans,grid
3,3,euclidean,0.22401675231906346,0.7727754237288136,0.6546149776667627,0.8855427322098463,0.3614979703146003,gmeans,grid
4,3,manhattan,0.21518190422339614,0.763771186440678,0.6499662367479236,0.900240002545023,0.35388516152934874,gmeans,grid
5,3,cosine,0.039612657340784396,0.6154661016949152,0.5465574568161544,1.498313352854556,0.24538103147846788,gmeans,grid
6,4,euclidean,0.2081692207636089,0.8209745762711864,0.5635503447285263,0.8236072752997594,0.3641183018860708,gmeans,grid
7,4,manhattan,0.19731261696905789,0.7542372881355932,0.578575097219165,0.8521019920222401,0.34223858894671433,gmeans,grid
8,4,cosine,0.04479577126727599,0.625,0.442223439211391,1.7155803137556345,0.20714446698061023,gmeans,grid
9,5,euclidean,0.16444287110147518,0.7595338983050848,0.5189102115142177,0.9426756575392952,0.29090627320657714,gmeans,grid
10,5,manhattan,0.25859604587017015,0.8511652542372882,0.6517755441432997,0.8959634341710139,0.29703436125889404,gmeans,grid
11,5,cosine,0.033314430131335206,0.6085805084745762,0.5261936214577612,2.560183247140036,0.13832157306631893,gmeans,grid
12,6,euclidean,0.16270659688838499,0.8522245762711864,0.44701738434398774,0.978244005950865,0.29334365911116267,gmeans,grid
13,6,manhattan,0.15150821586816,0.8411016949152542,0.43391414541422463,0.9661781051733133,0.28845571158004374,gmeans,grid
14,6,cosine,0.040882755610423455,0.6461864406779662,0.3841384831680075,2.5541072532708173,0.08101819434300782,gmeans,grid
15,7,euclidean,0.1590338428080645,0.8098516949152542,0.4656835934414836,0.9789930337165309,0.30144243458716447,gmeans,grid
16,7,manhattan,0.15150821586816,0.8411016949152542,0.43391414541422463,0.9661781051733133,0.28845571158004374,gmeans,grid
17,7,cosine,0.040882755610423455,0.6461864406779662,0.3841384831680075,2.5541072532708173,0.08101819434300782,gmeans,grid
